Sede,Concepto,Profesional Historia,Ingresos,Atenciones,Uds
CDMX,Aspirina protect (caja c/28),Eugenia Morán Orozco,11980.0,60,61
CDMX,Aspirina protect (caja c/28),Giovanni López Salamanca,4549.6,24,24
CDMX,Aspirina protect (caja c/28),Jaime Antonio Hidalgo Carrera,2490.0,13,13
CDMX,Aspirina protect (caja c/28),Jairo Hernando Pedraza Pinto,3040.0,16,16
CDMX,Aspirina protect (caja c/28),José Alfonso Gutiérrez Frusch,170.0,1,1
CDMX,Aspirina protect (caja c/28),Ruben Gonzalez Ruiz,2360.0,12,12
CDMX,Banco de donador de semen internacional - Disponibilidad 48 - 72 hrs CDMX,Eugenia Morán Orozco,21551.72,1,1
CDMX,Banco de óvulo donadora internacional x óvulo - Disponibilidad 48 - 72 hrs CDMX,Armando Miguel Roque Sanchez,98275.86,1,6
CDMX,Banco de óvulo donadora nacional x óvulo - Disponibilidad 48 - 72 hrs CDMX,Jaime Antonio Hidalgo Carrera,112500.0,1,9
CDMX,Banco de óvulos FI - Ovodonación Ovobank (6 óvulos) - Disponibilidad inmediata CDMX,LORENA CHRISSIE OCEGUERA PALAO,85345.42,1,1
CDMX,Biometria Hemática Pack,Alma Victoria Villarreal Barranca,388.0,4,4
CDMX,Biometria Hemática Pack,Armando Miguel Roque Sanchez,364.66,12,12
CDMX,Biometria Hemática Pack,Eugenia Morán Orozco,387.93,12,12
CDMX,Biometria Hemática Pack,Giovanni López Salamanca,107.76,8,8
CDMX,Biometria Hemática Pack,Griselda Reyes Torres,387.93,1,1
CDMX,Biometria Hemática Pack,Jaime Antonio Hidalgo Carrera,0.0,1,1
CDMX,Biometria Hemática Pack,Jairo Hernando Pedraza Pinto,0.0,9,9
CDMX,Biometria Hemática Pack,José Alfonso Gutiérrez Frusch,0.0,1,1
CDMX,Biometria Hemática Pack,Lilia Berenice Leyva Macias,387.93,1,1
CDMX,Biometria Hemática Pack,María Elena González Panzzi,0.0,1,1
CDMX,Biometria Hemática Pack,Miranda Lucía Morán Morales,387.93,3,3
CDMX,Biometria Hemática Pack,Monica Olavarria,0.0,1,1
CDMX,Biometria Hemática Pack,Ruben Gonzalez Ruiz,0.0,3,3
CDMX,Biometría hemática,(Sin asignar),387.93,1,1
CDMX,Biometría hemática,Alejandro Sanchez Aranda,387.93,1,1
CDMX,Biometría hemática,Alma Victoria Villarreal Barranca,0.0,1,1
CDMX,Biometría hemática,Armando Miguel Roque Sanchez,1163.79,15,15
CDMX,Biometría hemática,Carlos Andres Lejtik Alva,387.93,1,1
CDMX,Biometría hemática,Eugenia Morán Orozco,3491.37,49,49
CDMX,Biometría hemática,Gerardo Armando Paladino Barquera,775.86,2,2
CDMX,Biometría hemática,Giovanni López Salamanca,775.86,23,23
CDMX,Biometría hemática,Jaime Antonio Hidalgo Carrera,1551.72,22,22
CDMX,Biometría hemática,Jairo Hernando Pedraza Pinto,1551.72,32,32
CDMX,Biometría hemática,Maritza Ivett Rojas Valencia,775.86,2,2
CDMX,Biometría hemática,María Elena González Panzzi,387.93,1,1
CDMX,Biometría hemática,María de los Ángeles Flores Manzur,387.93,1,1
CDMX,Biometría hemática,Mayela Fernandez del Campo (MEFI),387.93,1,1
CDMX,Biometría hemática,Monica Olavarria,0.0,4,4
CDMX,Biometría hemática,Monica Yazmin Olavarria Guadarrama,387.93,2,2
CDMX,Biometría hemática,Norma Sharey Vazquez Jimenez,0.0,1,1
CDMX,Biometría hemática,Ruben Gonzalez Ruiz,2234.48,24,24
CDMX,Biopsia de endometrio,Armando Miguel Roque Sanchez,1551.72,1,1
CDMX,Biopsia de endometrio,Monica Olavarria,1551.72,1,1
CDMX,Biopsia de endometrio,Oliver Paul Cruz Orozco,1551.72,1,1
CDMX,Biopsia por embrión de 1 a 10,Giovanni López Salamanca,8620.69,1,1
CDMX,Biopsia testicular,Eugenia Morán Orozco,29310.34,1,1
CDMX,Biopsia testicular,Miranda Lucía Morán Morales,28000.17,1,1
CDMX,Biopsia testicular - CDMX,Armando Miguel Roque Sanchez,28000.0,1,1
CDMX,Biopsia testicular - CDMX,Eugenia Morán Orozco,28000.0,1,1
CDMX,Bolentax 40mg,Jaime Antonio Hidalgo Carrera,4000.0,1,5
CDMX,Búsqueda de microdeleciones del cromosoma Y,Enfermeria,5474.14,1,1
CDMX,CA 125,Giovanni López Salamanca,560.34,1,1
CDMX,CARGO DOBLE,Eugenia Morán Orozco,0.0,3,3
CDMX,CARGO DOBLE,Laboratorio FIV/Andrología,0.0,1,1
CDMX,CARGO ERRADO,Eugenia Morán Orozco,0.0,1,1
