Sede,Concepto,MesNum,Ingresos,Atenciones,Uds
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),7,13500.0,13,15
CDMX,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),8,4500.0,5,6
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,1,0.0,0,0
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,2,26745.0,12,13
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,3,56781.0,28,28
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,4,51707.0,25,25
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,5,77409.0,33,33
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,6,49350.0,21,21
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,7,70077.0,29,30
CDMX,OVIDREL F-PEN 250MCG - PLUMAS,8,85634.0,39,40
CDMX,PERGOVERIS PEN 300/150IU,1,0.0,0,0
CDMX,PERGOVERIS PEN 300/150IU,2,0.0,0,0
CDMX,PERGOVERIS PEN 300/150IU,3,21532.0,4,4
CDMX,PERGOVERIS PEN 300/150IU,4,16616.0,3,3
CDMX,PERGOVERIS PEN 300/150IU,5,11700.0,1,2
CDMX,PERGOVERIS PEN 300/150IU,6,11700.0,2,2
CDMX,PERGOVERIS PEN 300/150IU,7,17550.0,2,3
CDMX,PERGOVERIS PEN 300/150IU,8,0.0,0,0
CDMX,PERGOVERIS PEN 450/225IU,1,0.0,0,0
CDMX,PERGOVERIS PEN 450/225IU,2,0.0,0,0
CDMX,PERGOVERIS PEN 450/225IU,3,7661.0,3,3
CDMX,PERGOVERIS PEN 450/225IU,4,0.0,0,0
CDMX,PERGOVERIS PEN 450/225IU,5,0.0,0,0
CDMX,PERGOVERIS PEN 450/225IU,6,16600.0,1,2
CDMX,PERGOVERIS PEN 450/225IU,7,24900.0,3,3
CDMX,PERGOVERIS PEN 450/225IU,8,57104.0,7,8
CDMX,PERGOVERIS PEN 900/450IU,1,0.0,0,0
CDMX,PERGOVERIS PEN 900/450IU,2,28358.0,3,3
CDMX,PERGOVERIS PEN 900/450IU,3,218265.0,10,16
CDMX,PERGOVERIS PEN 900/450IU,4,276469.0,12,21
CDMX,PERGOVERIS PEN 900/450IU,5,303000.0,15,20
CDMX,PERGOVERIS PEN 900/450IU,6,287850.0,13,19
CDMX,PERGOVERIS PEN 900/450IU,7,605091.0,28,40
CDMX,PERGOVERIS PEN 900/450IU,8,480861.0,24,40
CDMX,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,1,0.0,0,0
