Sede,Servicio,Subclas,Subclas2,Concepto,Ago,Jul
total,Farmacia,,,Gonapeptyl Daily 0.1 (por ampolla),44390.4,43987.200000000004
total,Farmacia,,,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),431.03,0.0
total,Farmacia,,,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),2484.0,828.0
total,Farmacia,,,Letz 2.5mg,16544.0,4000.0
total,Farmacia,,,MOMENTS 50 MG 30 TABc,1900.0,950.0
total,Farmacia,,,MYO D-CHIRO 40:1 (HOLIHERB),0.0,1970.0
total,Farmacia,,,Merapur 75 UI (por ampolla),501799.8,446851.2
total,Farmacia,,,NOCELE 30 CAPSULAS,1500.0,0.0
total,Farmacia,,,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),4500.0,13500.0
total,Farmacia,,,OGESTAN ANDRACTIV 30 CAPSULAS,500.0,0.0
total,Farmacia,,,OMEGA 3 DE 90 CÁPS (MATTER),0.0,1120.69
total,Farmacia,,,OVIDREL F-PEN 250MCG - PLUMAS,122764.0,88305.95
total,Farmacia,,,PERGOVERIS PEN 300/150IU,0.0,17550.0
total,Farmacia,,,PERGOVERIS PEN 450/225IU,57104.0,24900.0
total,Farmacia,,,PERGOVERIS PEN 900/450IU,611031.01,650541.0
total,Farmacia,,,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,750.0,3000.0
total,Farmacia,,,PRIMOGYN 2 MG C/28 GRAG,261700.0,262000.0
total,Farmacia,,,PROVERA 5 MG 24 TAB,450.0,0.0
total,Farmacia,,,REGENESIX MAX CAPSULAS,3200.0,0.0
total,Farmacia,,,REKOVELLE SOL FOR INJ 36MCG/1.08ML CON 6 AGUJA,19696.0,29544.0
total,Farmacia,,,REKOVELLE SOL FOR INJ 72MCG/2.16ML CON 9 AGUJA,18300.0,73200.0
total,Farmacia,,,SUPLEMENTO - FORCELL DUO,7849.14,3393.0
total,Farmacia,,,SUPLEMENTO - FORCELL FEM,4475.0,4475.0
total,Farmacia,,,SUPLEMENTO - FORCELL MEN,16534.0,9448.0
total,Farmacia,,,SUPLEMENTO ONE,1034.48,1034.48
total,Farmacia,,,UTROGESTAN 100MG CAP CAJ C/30,8450.0,13000.0
total,Farmacia,,,UTROGESTAN 200 MG 14 CÁPSULAS,177016.0,175700.0
