Sede,Servicio,Concepto,Valor,VsLM
total,Farmacia,Merapur 75 UI (por ampolla),501799.8,12.0
total,Farmacia,Cetrotide 0.25mg,300038.88,5.0
total,Farmacia,PRIMOGYN 2 MG C/28 GRAG,261700.0,0.0
total,Farmacia,UTROGESTAN 200 MG 14 CÁPSULAS,177016.0,1.0
total,Farmacia,OVIDREL F-PEN 250MCG - PLUMAS,122764.0,39.0
total,Farmacia,GONAL-F PEN2.0 - 300IU,121000.0,-4.0
total,Farmacia,PERGOVERIS PEN 450/225IU,57104.0,129.0
total,Farmacia,CUERPO AMARILLO FTE 6X2 50ML/2MG AMP (PROGESTERONA),56952.0,-11.0
total,Farmacia,Gonapeptyl Daily 0.1 (por ampolla),44390.4,1.0
total,Farmacia,REKOVELLE SOL FOR INJ 36MCG/1.08ML CON 6 AGUJA,19696.0,-33.0
total,Farmacia,REKOVELLE SOL FOR INJ 72MCG/2.16ML CON 9 AGUJA,18300.0,-75.0
total,Farmacia,Letz 2.5mg,16544.0,314.0
total,Farmacia,SUPLEMENTO - FORCELL MEN,16534.0,75.0
total,Farmacia,ASPIRINA PROTEC 100MG 28 TAB,11731.2,-25.0
total,Farmacia,UTROGESTAN 100MG CAP CAJ C/30,8450.0,-35.0
total,Farmacia,SUPLEMENTO - FORCELL DUO,7849.14,131.0
total,Farmacia,OESTROGEL .0.06 / 100 G (ESTRADIOL EN GEL),4500.0,-67.0
total,Farmacia,SUPLEMENTO - FORCELL FEM,4475.0,0.0
total,Farmacia,REGENESIX MAX CAPSULAS,3200.0,
total,Farmacia,LEVONORGESTREL/ ETINILESTRADIOL 0.15/0.03MG 21 TAB (MICROGYNON),2484.0,200.0
total,Farmacia,DUPHASTON 10 MG 20 TAB,2250.0,0.0
total,Farmacia,MOMENTS 50 MG 30 TABc,1900.0,100.0
total,Farmacia,NOCELE 30 CAPSULAS,1500.0,
total,Farmacia,SUPLEMENTO ONE,1034.48,0.0
total,Farmacia,PREDNISONA 20 MG C/30 TAB (METICORTEN) ASPEN,750.0,-75.0
total,Farmacia,OGESTAN ANDRACTIV 30 CAPSULAS,500.0,
total,Farmacia,PROVERA 5 MG 24 TAB,450.0,
total,Farmacia,LAB - RI WITNESS RFDI PATIENT ID CARDS 6-70-100/50 (PAQUETE 50 PZAS),431.03,
total,Farmacia,Ceftriaxona,300.0,
total,Farmacia,MYO D-CHIRO 40:1 (HOLIHERB),0.0,-100.0
total,Farmacia,OMEGA 3 DE 90 CÁPS (MATTER),0.0,-100.0
total,Farmacia,PERGOVERIS PEN 300/150IU,0.0,-100.0
total,Imágenes,Ultrasonido,43232.64,-46.0
total,Imágenes,Histerosonografía,6034.48,0.0
total,Laboratorio,PGT-A por embrion,1590043.15,34.0
total,Laboratorio,Perfil ETS,192827.62,12.0
total,Laboratorio,Paquete Análisis Serología,123383.49,9.0
total,Laboratorio,Fragmentación del ADN espermático,101810.46,10.0
total,Laboratorio,Perfil prenatal,70172.52,69.0
total,Laboratorio,Antimulleriana AMH (Nanogramos),37931.08,121.0
total,Laboratorio,Espermatobioscopía (ED),30749.93,-18.0
total,Laboratorio,Paquete estudios diagnóstico - MET,18750.0,-44.0
total,Laboratorio,Papanicolaou,16508.63,-2.0
total,Laboratorio,"Vitamina D 1,25-di-hidroxi colecalciferol (Con D3)",11163.79,-39.0
total,Laboratorio,Perfil Tiroideo con Ac. Antitiroideos,11120.7,21.0
